Time,UNIX_T,RSSI1,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temp,ID,Pos,Si,Co,Ro
"2017-09-22 15:08:45.163",1506085725163,47,59,63,203,-1107,-23,92,2256,1,151,1,5,1
"2017-09-22 15:08:45.217",1506085725217,66,70,61,79,-1034,10,85,2240,2,221,2,2,1
"2017-09-22 15:08:45.266",1506085725266,53,53,63,84,-1093,-43,140,2133,3,242,2,4,2
"2017-09-22 15:08:45.316",1506085725316,61,57,65,86,-1074,-1,105,2171,4,252,2,5,2
"2017-09-22 15:08:45.367",1506085725367,54,66,52,71,-1051,-47,110,2015,5,212,2,1,2
"2017-09-22 15:08:45.418",1506085725418,57,59,53,147,-1095,-57,103,2089,6,113,1,1,3
"2017-09-22 15:08:45.467",1506085725467,59,65,65,188,-1010,29,166,2174,7,141,1,4,1
"2017-09-22 15:08:45.517",1506085725517,41,53,40,156,-1091,-27,65,2087,8,111,1,1,1
"2017-09-22 15:08:45.568",1506085725568,58,61,64,74,-1030,45,92,2182,9,232,2,3,2
"2017-09-22 15:08:45.619",1506085725619,55,72,49,64,-1088,-63,93,2197,10,223,2,2,3
"2017-09-22 15:08:45.666",1506085725666,51,65,63,69,-1051,-49,73,-24432,11,233,2,3,3
"2017-09-22 15:08:45.716",1506085725716,48,69,64,191,-1035,-18,61,2209,12,131,1,3,1
"2017-09-22 15:08:45.767",1506085725767,50,54,66,184,-1085,-41,78,2186,13,152,1,5,2
"2017-09-22 15:08:45.815",1506085725815,55,63,54,187,-1054,-51,38,2080,14,153,1,5,3
"2017-09-22 15:08:45.870",1506085725870,57,66,56,191,-1095,-34,110,2156,15,121,1,2,1
"2017-09-22 15:08:45.917",1506085725917,52,66,61,83,-1064,-27,105,2125,16,231,2,3,1
"2017-09-22 15:08:45.972",1506085725972,52,55,67,97,-1095,-54,117,2188,17,251,2,5,1
"2017-09-22 15:08:46.021",1506085726021,64,67,60,149,-1054,-35,124,2080,18,123,1,2,3
"2017-09-22 15:08:46.064",1506085726064,55,60,66,88,-1038,74,50,2290,19,241,2,4,1
"2017-09-22 15:08:46.125",1506085726125,62,70,48,80,-1072,2,110,2187,20,211,2,1,1
"2017-09-22 15:08:46.167",1506085726167,52,62,63,194,-1061,-34,93,2176,21,199,1,9,9
"2017-09-22 15:08:46.222",1506085726222,57,61,60,61,-1051,-44,125,2179,22,299,2,9,9
"2017-09-22 15:08:47.236",1506085727236,46,59,63,203,-1106,-25,97,2256,1,151,1,5,1
"2017-09-22 15:08:47.286",1506085727286,66,70,60,79,-1035,10,89,2240,2,221,2,2,1
"2017-09-22 15:08:47.337",1506085727337,53,52,64,84,-1090,-47,134,2140,3,242,2,4,2
"2017-09-22 15:08:47.388",1506085727388,61,57,66,86,-1074,-4,102,2171,4,252,2,5,2
"2017-09-22 15:08:47.439",1506085727439,53,65,52,71,-1056,-47,110,1989,5,212,2,1,2
"2017-09-22 15:08:47.487",1506085727487,57,59,52,147,-1096,-52,98,2096,6,113,1,1,3
"2017-09-22 15:08:47.537",1506085727537,59,65,66,188,-1013,28,162,2174,7,141,1,4,1
"2017-09-22 15:08:47.588",1506085727588,41,53,40,156,-1096,-27,62,2087,8,111,1,1,1
"2017-09-22 15:08:47.635",1506085727635,58,61,65,74,-1031,46,87,2182,9,232,2,3,2
"2017-09-22 15:08:47.689",1506085727689,55,72,49,64,-1088,-60,87,2177,10,223,2,2,3
"2017-09-22 15:08:47.740",1506085727740,51,65,63,69,-1053,-49,77,-24432,11,233,2,3,3
"2017-09-22 15:08:47.787",1506085727787,48,68,64,190,-1035,-20,61,2216,12,131,1,3,1
"2017-09-22 15:08:47.836",1506085727836,50,53,66,184,-1085,-44,76,2173,13,152,1,5,2
"2017-09-22 15:08:47.886",1506085727886,55,63,53,187,-1054,-54,41,2080,14,153,1,5,3
"2017-09-22 15:08:47.939",1506085727939,56,66,56,191,-1090,-31,102,2156,15,121,1,2,1
"2017-09-22 15:08:47.988",1506085727988,52,66,61,83,-1062,-26,108,2132,16,231,2,3,1
"2017-09-22 15:08:48.042",1506085728042,52,55,66,97,-1102,-51,126,2168,17,251,2,5,1
"2017-09-22 15:08:48.092",1506085728092,63,66,59,149,-1056,-35,125,2073,18,123,1,2,3
"2017-09-22 15:08:48.135",1506085728135,55,60,65,88,-1038,71,57,2277,19,241,2,4,1
"2017-09-22 15:08:48.196",1506085728196,63,70,49,80,-1070,1,111,2187,20,211,2,1,1
"2017-09-22 15:08:48.237",1506085728237,53,62,63,194,-1058,-31,98,2176,21,199,1,9,9
"2017-09-22 15:08:48.292",1506085728292,56,61,59,61,-1050,-47,127,2185,22,299,2,9,9
"2017-09-22 15:08:49.308",1506085729308,46,60,63,203,-1101,-22,95,2249,1,151,1,5,1
"2017-09-22 15:08:49.357",1506085729357,67,70,60,79,-1031,10,86,2253,2,221,2,2,1
"2017-09-22 15:08:49.408",1506085729408,53,54,63,84,-1086,-42,130,2133,3,242,2,4,2
"2017-09-22 15:08:49.456",1506085729456,61,57,64,86,-1077,-2,98,2151,4,252,2,5,2
"2017-09-22 15:08:49.508",1506085729508,54,66,52,71,-1051,-51,105,2015,5,212,2,1,2
"2017-09-22 15:08:49.556",1506085729556,57,60,52,146,-1099,-59,102,2083,6,113,1,1,3
"2017-09-22 15:08:49.610",1506085729610,58,66,65,188,-1014,23,164,2167,7,141,1,4,1
"2017-09-22 15:08:49.661",1506085729661,41,53,40,156,-1091,-31,58,2093,8,111,1,1,1
"2017-09-22 15:08:49.707",1506085729707,58,61,64,74,-1030,42,87,2176,9,232,2,3,2
"2017-09-22 15:08:49.762",1506085729762,55,72,49,64,-1086,-59,93,2203,10,223,2,2,3
"2017-09-22 15:08:49.810",1506085729810,51,66,62,69,-1051,-49,78,-24419,11,233,2,3,3
"2017-09-22 15:08:49.856",1506085729856,48,69,64,190,-1038,-19,54,2209,12,131,1,3,1
"2017-09-22 15:08:49.907",1506085729907,51,53,66,183,-1086,-42,78,2193,13,152,1,5,2
"2017-09-22 15:08:49.956",1506085729956,54,63,55,187,-1051,-60,46,2080,14,153,1,5,3
"2017-09-22 15:08:50.013",1506085730013,56,66,57,191,-1091,-33,98,2156,15,121,1,2,1
"2017-09-22 15:08:50.058",1506085730058,52,65,61,83,-1062,-27,106,2145,16,231,2,3,1
"2017-09-22 15:08:50.113",1506085730113,53,54,66,96,-1099,-52,117,2194,17,251,2,5,1
"2017-09-22 15:08:50.160",1506085730160,63,67,60,149,-1054,-38,125,2073,18,123,1,2,3
"2017-09-22 15:08:50.206",1506085730206,55,61,66,88,-1038,69,55,2271,19,241,2,4,1
"2017-09-22 15:08:50.266",1506085730266,62,70,48,80,-1071,1,110,2167,20,211,2,1,1
"2017-09-22 15:08:50.308",1506085730308,51,62,63,194,-1062,-26,95,2183,21,199,1,9,9
"2017-09-22 15:08:50.362",1506085730362,57,60,59,61,-1054,-44,125,2179,22,299,2,9,9
"2017-09-22 15:08:51.377",1506085731377,46,60,63,203,-1107,-22,85,2256,1,151,1,5,1
"2017-09-22 15:08:51.429",1506085731429,66,70,60,79,-1035,12,89,2240,2,221,2,2,1
"2017-09-22 15:08:51.478",1506085731478,53,53,64,84,-1090,-47,135,2140,3,242,2,4,2
"2017-09-22 15:08:51.531",1506085731531,61,56,65,86,-1074,1,110,2151,4,252,2,5,2
"2017-09-22 15:08:51.579",1506085731579,54,65,52,70,-1054,-46,114,1996,5,212,2,1,2
"2017-09-22 15:08:51.629",1506085731629,57,59,52,146,-1099,-52,103,2096,6,113,1,1,3
"2017-09-22 15:08:51.679",1506085731679,58,65,65,188,-1013,29,166,2174,7,141,1,4,1
"2017-09-22 15:08:51.732",1506085731732,42,53,39,156,-1088,-27,57,2080,8,111,1,1,1
"2017-09-22 15:08:51.781",1506085731781,59,60,64,74,-1030,42,89,2182,9,232,2,3,2
"2017-09-22 15:08:51.831",1506085731831,55,73,50,63,-1088,-59,92,2184,10,223,2,2,3
"2017-09-22 15:08:51.881",1506085731881,52,64,63,69,-1051,-49,82,-24413,11,233,2,3,3
"2017-09-22 15:08:51.929",1506085731929,48,69,64,190,-1032,-22,68,2209,12,131,1,3,1
"2017-09-22 15:08:51.978",1506085731978,51,53,66,183,-1086,-39,77,2206,13,152,1,5,2
"2017-09-22 15:08:52.029",1506085732029,54,63,55,187,-1055,-52,47,2086,14,153,1,5,3
"2017-09-22 15:08:52.081",1506085732081,56,66,57,191,-1095,-33,106,2182,15,121,1,2,1
"2017-09-22 15:08:52.131",1506085732131,52,64,60,83,-1061,-30,108,2106,16,231,2,3,1
"2017-09-22 15:08:52.184",1506085732184,52,55,66,96,-1102,-51,125,2168,17,251,2,5,1
"2017-09-22 15:08:52.233",1506085732233,63,67,59,149,-1056,-38,121,2093,18,123,1,2,3
"2017-09-22 15:08:52.280",1506085732280,55,61,66,88,-1039,73,54,2271,19,241,2,4,1
"2017-09-22 15:08:52.337",1506085732337,63,69,49,80,-1074,1,110,2180,20,211,2,1,1
"2017-09-22 15:08:52.377",1506085732377,51,63,63,194,-1061,-28,97,2176,21,199,1,9,9
"2017-09-22 15:08:52.435",1506085732435,57,61,60,61,-1051,-46,119,2179,22,299,2,9,9
"2017-09-22 15:08:53.450",1506085733450,46,60,63,203,-1107,-23,92,2256,1,151,1,5,1
"2017-09-22 15:08:53.498",1506085733498,66,70,60,79,-1035,12,89,2240,2,221,2,2,1
"2017-09-22 15:08:53.549",1506085733549,53,54,63,84,-1090,-47,133,2120,3,242,2,4,2
"2017-09-22 15:08:53.601",1506085733601,61,57,65,86,-1072,-3,103,2171,4,252,2,5,2
"2017-09-22 15:08:53.651",1506085733651,54,66,51,70,-1051,-49,110,1989,5,212,2,1,2
"2017-09-22 15:08:53.699",1506085733699,57,59,53,146,-1094,-58,102,2096,6,113,1,1,3
"2017-09-22 15:08:53.752",1506085733752,58,66,66,188,-1014,29,162,2167,7,141,1,4,1
"2017-09-22 15:08:53.801",1506085733801,41,53,40,156,-1093,-28,63,2093,8,111,1,1,1
"2017-09-22 15:08:53.848",1506085733848,58,60,65,74,-1030,45,93,2182,9,232,2,3,2
"2017-09-22 15:08:53.902",1506085733902,55,73,49,64,-1088,-65,93,2184,10,223,2,2,3
"2017-09-22 15:08:53.950",1506085733950,51,64,62,69,-1054,-46,78,-24400,11,233,2,3,3
"2017-09-22 15:08:53.999",1506085733999,48,69,64,190,-1039,-20,60,2209,12,131,1,3,1
"2017-09-22 15:08:54.050",1506085734050,52,53,66,183,-1085,-42,78,2193,13,152,1,5,2
"2017-09-22 15:08:54.098",1506085734098,53,62,54,187,-1053,-51,50,2086,14,153,1,5,3
"2017-09-22 15:08:54.155",1506085734155,56,66,57,191,-1094,-33,109,2163,15,121,1,2,1
"2017-09-22 15:08:54.200",1506085734200,52,65,60,83,-1062,-31,110,2132,16,231,2,3,1
"2017-09-22 15:08:54.257",1506085734257,53,55,66,96,-1102,-51,125,2194,17,251,2,5,1
"2017-09-22 15:08:54.305",1506085734305,63,66,59,149,-1055,-36,119,2073,18,123,1,2,3
"2017-09-22 15:08:54.348",1506085734348,55,61,65,88,-1038,71,52,2271,19,241,2,4,1
